Date,Nvidia,AAPL,BAESY,CJJD,AZN,SAS,TSLA,Saab AB,PFE,GME,HSBC,LVMH,,,,,,,,,,,,,
17/08/2015,-0.0879,-0.088,-0.0564,-0.1511,-0.042,-0.038,-0.0509,-0.0515,-0.0504,-0.055,-0.0637,-0.0871,,,,,,,,,,,,,
24/08/2015,0.0631,0.0712,0.0036,-0.0209,0.0013,0.0132,0.0767,0.05,-0.0262,-0.0522,-0.0153,0.036,,,,,,,,,,,,,
31/08/2015,-0.0431,-0.0355,-0.0359,-0.0535,0.0009,0.0065,-0.0264,0.0139,-0.0395,-0.0292,-0.0556,-0.0331,,,,,,,,,,,,,
07/09/2015,0.0414,0.0452,0.0379,0.0452,0.0505,0.0065,0.0343,0.0223,0.051,0.0461,0.0382,0.0151,,,,,,,,,,,,,
14/09/2015,0.0283,-0.0067,-0.0219,0.0108,0.0321,0,0.0415,0.0031,-0.0036,-0.0119,-0.0253,0.0169,,,,,,,,,,,,,
21/09/2015,0.0137,0.0111,-0.0293,-0.0267,-0.0585,-0.0256,-0.0142,-0.0315,-0.0292,-0.03,-0.0018,0.0033,,,,,,,,,,,,,
28/09/2015,0.0504,-0.0377,0.0291,0.011,-0.0077,0.0263,-0.0364,0.0197,0.0373,0.0122,0.0231,-0.0129,,,,,,,,,,,,,
05/10/2015,0.0512,0.0158,0.0517,0.0109,0.0037,0.0128,-0.1086,0.0288,0.0048,0.0701,0.0419,0.1109,,,,,,,,,,,,,
12/10/2015,0.0687,-0.0096,-0.0195,0.0484,0.0037,-0.0127,0.0286,-0.0052,0.0352,0.0011,-0.0049,-0.0428,,,,,,,,,,,,,
19/10/2015,0.0262,0.0724,-0.0121,-0.0718,-0.0306,0.0513,-0.0789,0.0396,-0.0105,0.02,-0.0114,0.0756,,,,,,,,,,,,,
26/10/2015,-0.0077,0.0035,-0.0075,0.0276,0.0169,0.0061,-0.0103,0.0178,-0.0068,0.0159,-0.0086,-0.0062,,,,,,,,,,,,,
02/11/2015,0.1121,0.0131,-0.01,0.0161,0.0063,0.0545,0.1229,0.0328,0.0033,0.0163,0.0202,-0.005,,,,,,,,,,,,,
09/11/2015,-0.0555,-0.0681,0.0265,-0.0265,-0.0249,0.0747,-0.1083,0.0306,-0.0115,-0.2059,-0.0236,-0.0376,,,,,,,,,,,,,
16/11/2015,0.0534,0.062,0.0818,-0.0163,0.0892,0.0214,0.0619,0.0226,-0.0328,0.0559,0.0357,-0.0009,,,,,,,,,,,,,
23/11/2015,0.0038,-0.0125,0.0501,-0.0276,-0.0009,0.0052,0.0527,0.0111,0.019,-0.0828,-0.0047,-0.0388,,,,,,,,,,,,,
30/11/2015,0.0752,0.0104,-0.0122,0.1477,-0.0038,0.026,-0.0053,-0.0015,0.0003,-0.0753,-0.0065,-0.0237,,,,,,,,,,,,,
07/12/2015,-0.0373,-0.0491,-0.0402,-0.0396,-0.0198,0.1015,-0.058,-0.0174,-0.0226,-0.0897,-0.0499,-0.0398,,,,,,,,,,,,,
14/12/2015,-0.0108,-0.0632,-0.0159,-0.0361,-0.0135,0.1106,0.0619,-0.0192,-0.0022,-0.0413,0.0372,0.0003,,,,,,,,,,,,,
21/12/2015,0.032,0.0189,0.0223,0.0588,0.0405,-0.0124,0.0005,0.0145,0.0197,-0.0136,0.0275,0.0072,,,,,,,,,,,,,
28/12/2015,-0.0063,-0.0256,-0.0111,-0.0354,-0.0053,0.0252,0.0409,0.0085,-0.0104,-0.0116,-0.0221,0.0075,,,,,,,,,,,,,
04/01/2016,-0.101,-0.0789,0.0163,-0.0785,-0.0642,0.1516,-0.1209,-0.0487,-0.0397,0.0118,-0.0841,-0.0802,,,,,,,,,,,,,
11/01/2016,-0.085,0.0018,-0.0284,-0.0284,-0.0371,-0.153,-0.0285,-0.0202,-0.0061,-0.0962,-0.042,0.0151,,,,,,,,,,,,,
18/01/2016,0.0494,0.0442,-0.0272,-0.0409,0.0291,0.042,-0.0119,0.0366,-0.0032,0.0012,-0.0023,0.0418,,,,,,,,,,,,,
25/01/2016,0.0295,-0.0402,0.0456,-0.0244,0.0235,-0.0081,-0.056,0.0246,-0.0072,0.021,0.0246,0.0353,,,,,,,,,,,,,
01/02/2016,-0.0976,-0.0341,-0.0615,-0.0125,-0.068,-0.0732,-0.1496,-0.0542,-0.0479,0.0237,-0.0585,0.0304,,,,,,,,,,,,,
08/02/2016,-0.0265,0.0051,-0.0202,0.1013,-0.0123,-0.0789,-0.0711,0.0184,0.0215,0.0056,-0.0423,-0.0439,,,,,,,,,,,,,
15/02/2016,0.1831,0.0218,0.0658,-0.0517,-0.0034,0.0571,0.1029,0.072,0.0044,0.0448,0.0081,0.0582,,,,,,,,,,,,,
22/02/2016,0.0407,0.0091,-0.0255,-0.0121,0.0257,0.018,0.1426,0.0244,0.0251,0.0834,0,-0.0084,,,,,,,,,,,,,
29/02/2016,0.0275,0.0629,0.0131,-0.0123,-0.017,0.0752,0.0562,0.0092,-0.0172,0.0226,0.0037,0.001,,,,,,,,,,,,,
07/03/2016,-0.0065,-0.0073,-0.0059,0,0.0242,-0.0823,0.0321,-0.0142,0.0266,-0.0041,0.046,0.0267,,,,,,,,,,,,,
14/03/2016,0.0493,0.0358,0.0091,0.0248,-0.0369,-0.0224,0.1216,-0.0129,-0.0344,0.0026,-0.0034,-0.0324,,,,,,,,,,,,,
21/03/2016,0.0198,-0.0024,-0.0136,-0.0182,-0.0169,-0.0321,-0.0214,0.0205,0.0214,-0.0182,-0.0435,-0.0338,,,,,,,,,,,,,
28/03/2016,0.0484,0.0409,0.0064,-0.0185,0.0079,0.09,0.0432,0.0051,-0.0013,0.0353,-0.0093,0.0109,,,,,,,,,,,,,
04/04/2016,-0.0136,-0.0121,-0.0123,0.0252,0.0436,0.0174,0.0525,-0.04,0.0819,-0.059,-0.0427,-0.0212,,,,,,,,,,,,,
11/04/2016,0.0412,0.011,0.0281,-0.0123,0.0088,0.0214,0.0178,-0.0477,0,0.078,0.0784,0.0463,,,,,,,,,,,,,
18/04/2016,-0.0232,-0.038,-0.0252,0.0248,0.0131,-0.0502,-0.003,0.0636,0.0237,0.0318,0.0545,-0.0174,,,,,,,,,,,,,
25/04/2016,-0.0204,-0.113,0.0142,0.0061,-0.0379,0.0132,-0.0512,0.0473,-0.0168,0,-0.0098,-0.0168,,,,,,,,,,,,,
02/05/2016,-0.0056,-0.0109,0.0125,-0.0301,-0.0345,-0.0304,-0.1073,0.0033,0.0266,-0.0826,-0.0537,-0.0096,,,,,,,,,,,,,
09/05/2016,0.1599,-0.0178,-0.0177,0.0248,0.0193,-0.0135,-0.0341,0.025,-0.0116,-0.0452,-0.0231,0.0115,,,,,,,,,,,,,
16/05/2016,0.0817,0.0519,0.0076,-0.0303,0.0067,0.0136,0.061,0.0046,0.0257,-0.0087,0.0097,-0.0079,,,,,,,,,,,,,
23/05/2016,0.0354,0.0539,0.0071,0.0125,0.0415,0.0224,0.0125,-0.0004,0.0258,0.0112,0.0704,0.0059,,,,,,,,,,,,,
30/05/2016,0.0153,-0.0242,0.0121,0,-0.005,-0.0088,-0.0182,-0.0356,0.0023,-0.0059,-0.007,0.0014,,,,,,,,,,,,,
06/06/2016,-0.006,0.0093,-0.0477,-0.0185,-0.0592,-0.115,-0.0009,-0.0318,0.0173,-0.0733,-0.047,-0.0176,,,,,,,,,,,,,
13/06/2016,0.0113,-0.0354,0.0147,0.0314,-0.0139,-0.105,-0.0152,-0.0166,-0.0303,-0.0014,0.0045,-0.0364,,,,,,,,,,,,,
20/06/2016,-0.0212,-0.0202,-0.0544,-0.0183,0.0102,-0.0223,-0.1036,0.0545,-0.0073,-0.031,-0.0151,-0.0171,,,,,,,,,,,,,
27/06/2016,0.0203,0.0267,0.0905,0.1553,0.0919,-0.08,0.1209,-0.008,0.0471,0.0679,0.0212,0.0074,,,,,,,,,,,,,
04/07/2016,0.0898,0.0082,-0.019,0.0054,-0.0102,0.087,0.0013,0.0264,0.0155,0.0115,-0.0262,-0.0129,,,,,,,,,,,,,
11/07/2016,0.0364,0.0217,0.0204,-0.0588,0.0043,-0.0229,0.0167,0.0225,0.018,0.0227,0.0442,0.0417,,,,,,,,,,,,,
18/07/2016,0.0374,-0.0012,-0.0176,0.1193,0.0294,-0.0409,0.0085,-0.0269,-0.0008,0.1008,0.0163,0.0164,,,,,,,,,,,,,
25/07/2016,0.0444,0.0563,0.0125,0.0355,0.0967,0.0244,0.0563,0.0557,0.0041,0.0045,0.0114,0.078,,,,,,,,,,,,,
01/08/2016,0.0193,0.0314,-0.0184,-0.0392,0.0041,0.0119,-0.0203,-0.032,-0.0393,-0.0294,0.0626,0,,,,,,,,,,,,,
08/08/2016,0.0832,0.012,-0.0097,-0.0255,-0.0216,0.0765,-0.0192,0.0352,-0.0048,0.0436,0.0129,0.0339,,,,,,,,,,,,,
15/08/2016,-0.0124,0.0109,0.0127,0,0.014,-0.0492,-0.0027,-0.0068,0,0.0118,0.0248,-0.0098,,,,,,,,,,,,,
